age 	speakerID 	sex 	sentenceID 	stdevM              	varcoM              	rPVIm               	nPVIm               	stdevP              	varcoP              	rPVIp               	nPVIp
y   	       10 	f   	       123 	 5.451921683039511  	 8.87377580879854   	 4.9027290363211335 	 7.917288213263409  	 4.119102724778172  	 5.86142682960608   	 1.97552614518506   	 2.8293253615459366
y   	       10 	f   	       124 	 4.267354480354444  	 6.557625406623405  	 4.858960346903643  	 7.377626430338717  	 4.879595528809539  	 6.847835920700129  	 4.183380271698143  	 5.987245510459458
y   	       10 	f   	       127 	 6.116039606437785  	 9.077348442834534  	 3.9739086583157737 	 5.882409318525143  	 3.630007833273717  	 5.0136567135329075 	 2.1388748471976675 	 2.904107211303194
y   	       10 	f   	       131 	 5.840546168914549  	 9.194541749809998  	 4.845229486691255  	 7.7132668005226215 	 4.4800998683356825 	 6.572406512184454  	 4.393880018627992  	 6.506010553299873
y   	       10 	f   	       165 	 4.354313574094744  	 6.594106921171933  	 4.58881411436572   	 6.969043575722193  	 4.007135481951183  	 5.68650054329518   	 2.912458140786993  	 4.221003191403932
y   	       10 	f   	       168 	 5.901501776813982  	 9.174284621112433  	 7.5145856884687925 	11.844073953823862  	 4.771993831172376  	 6.832768295359172  	 4.7031605969937935 	 6.8398525999265
y   	       10 	f   	       169 	 4.848833773776405  	 7.562806116074077  	 5.293879416612252  	 8.408799317352036  	 2.9844314885627696 	 4.274082872129022  	 3.5101236911619624 	 5.0834829737380876
y   	       10 	f   	       171 	 3.831865124704061  	 5.9941057373115765 	 5.52891978262489   	 8.691043323693764  	 4.996621692688919  	 7.2692300402237215 	 4.467334401170151  	 6.789198935508802
y   	       10 	f   	       172 	 4.424021515940256  	 6.925264405569501  	 4.005876813221265  	 6.402462860552565  	 4.315121710628149  	 6.067815755639561  	 3.6590140650041483 	 5.2963328473703
y   	       10 	f   	       173 	 5.025154879600364  	 8.177780814116822  	 4.18593772213332   	 6.81313165587922   	 3.0277985932520766 	 4.364108396948924  	 2.461589554011402  	 3.6530080300269727
y   	       10 	f   	       174 	 4.9208213143275525 	 7.742940400961445  	 7.624221014771197  	11.955795786730938  	 3.1398152015538834 	 4.450671832974039  	 3.097609713811873  	 4.375902728001706
y   	       10 	f   	       176 	 3.298857403921032  	 4.996994443654102  	 2.008930753252256  	 3.083988417711491  	 1.945016342151419  	 2.795467382113902  	 2.323292932134836  	 3.3596069060956824
y   	       10 	f   	       178 	 2.0399747160986745 	 3.057367439460262  	 2.8197659347710857 	 4.239213455546489  	 4.167091816198886  	 5.904352260052376  	 3.9399018340620557 	 5.706845523059805
y   	       10 	f   	       184 	 6.981878277421321  	11.106247593263465  	 6.269002045730293  	10.186530207125712  	 6.45909085329288   	 9.30556873702964   	 6.313535505670563  	 9.364440387453142
y   	       10 	f   	       190 	 4.231836509118277  	 6.414680115109801  	 5.854686025374153  	 8.969923208711917  	 5.533511108287114  	 7.643179866502232  	 3.174762409628523  	 4.519779294758866
y   	       10 	f   	       192 	 3.558923628590688  	 5.665294583705833  	 2.632168108157951  	 4.235895958021462  	 5.982367630657613  	 8.37474663888529   	 2.7114187648515546 	 3.8112913488255877
y   	       10 	f   	       193 	 4.281688233017069  	 6.744996236204029  	 3.3987833304763533 	 5.434951935054863  	 3.4158001205482638 	 4.877045243230283  	 4.911537605594465  	 7.007016206573732
y   	       10 	f   	       197 	 3.3336865666401128 	 5.032667021426267  	 3.6388134759154185 	 5.431447781294957  	 3.3911417375599453 	 4.6789692897338435 	 2.8508467286323764 	 3.9260247501895313
y   	       10 	f   	       199 	 5.6881402345969905 	 8.48857635960039   	 3.962065033948848  	 5.967545220166596  	 3.111805106010875  	 4.308449762804062  	 2.2904148301783955 	 3.184612623848214
y   	       10 	f   	       200 	 5.03362243343997   	 7.703867444669521  	 6.203693126284857  	 9.372301683268438  	 3.8760802475400706 	 5.438840701148902  	 2.1637169167905856 	 3.0287453979058974
y   	       10 	f   	       203 	 4.672761750851787  	 7.397880391545322  	 5.184901142908416  	 8.244729397796599  	 4.263538634524565  	 6.166083517098018  	 4.653655566287654  	 6.83053791208697
y   	       10 	f   	       206 	 5.337308643224869  	 8.11429830916685   	 5.626335711438546  	 8.518496697243869  	 3.5643709810667437 	 5.017296468321109  	 3.7442485406905384 	 5.276313524286494
y   	       10 	f   	       210 	 5.152018178190635  	 8.184555023109489  	 6.20449360790944   	 9.994793134796703  	 5.468243345916321  	 7.960825460691399  	 6.213510660040337  	 9.090568000295423
y   	       12 	m   	       002 	 9.206656854956696  	14.495387565397907  	 8.90579026405009   	14.38067505975537   	 3.6704159517031316 	 5.018895779131045  	 3.662118510256704  	 5.0204185237873356
y   	       12 	m   	       005 	 4.616425408850002  	 7.312997635717264  	 2.9905704541756872 	 4.592821206509071  	 4.526691798111515  	 6.4997803653458766 	 3.7415559681694717 	 5.413771307043165
y   	       12 	m   	       016 	 6.111725017309421  	 9.70338024386695   	 8.256947021404102  	13.098998653493506  	 3.956621533017663  	 5.495305694835506  	 4.541664683287386  	 6.178403332765912
y   	       12 	m   	       017 	 5.188473663918963  	 8.240180448208191  	 4.610364742251335  	 7.229388456824791  	 4.964392350018473  	 6.857780887755623  	 5.473161241288446  	 7.500211976331435
y   	       12 	m   	       021 	 3.4382597576822835 	 5.032376345968289  	 5.121718013155918  	 7.514363838864328  	 2.229988219510922  	 2.9393786225090066 	 1.7266959985215518 	 2.264764649591027
y   	       12 	m   	       022 	 4.229014020442405  	 6.187984844450675  	 3.7113124423270585 	 5.488587499148569  	 4.558568816304301  	 6.105232829715872  	 3.454929022456808  	 4.688574584303189
y   	       12 	m   	       023 	 5.0805541909367316 	 7.60774957545183   	 6.773258487637541  	10.163056726869995  	 2.3958333711179924 	 3.159675209872022  	 2.5138215176544314 	 3.2664934710222147
y   	       12 	m   	       026 	 5.922149712649489  	 8.97405373312921   	 4.836825895338404  	 7.301967580025697  	 3.266831897560673  	 4.4218129550897345 	 2.859322496055732  	 3.8971484698843653
y   	       12 	m   	       029 	 4.475145291033102  	 6.782179490932209  	 3.585890154288117  	 5.463949210575233  	 4.138135973776759  	 5.83473815021145   	 3.0443625404539163 	 4.4651110789436395
